id,label,text,char_count,word_count,avg_word_len,digit_count,uppercase_ratio,exclamation_count,has_exclamation,question_count,contains_no,first_second_pronoun_count,log_length,has_url,has_phone,has_money,urgent_terms,action_terms,scam_word_hits,safe_word_hits,scam_word_density,safe_word_density
safe_00001,safe,The project presentation is scheduled for next Thursday. Let's practice. Thanks! (917),86.0,12.0,5.833333333333333,3.0,0.06060606060606061,1.0,1.0,0.0,0.0,0.0,4.454347296253507,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.16666666666666666,0.3333333333333333
safe_00002,safe,សូមអរគុណសម្រាប់ការគាំទ្រ និងការជឿជាក់លើសេវាកម្មរបស់យើងខ្ញុំ។ ជម្រាបលា។ (138),76.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_00003,safe,Don't forget to submit the Python assignment before midnight. Have a great day. (244),85.0,13.0,5.153846153846154,3.0,0.046875,0.0,0.0,0.0,0.0,0.0,4.442651256490317,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3076923076923077
safe_00004,safe,មេរៀនថ្ងៃនេះពិបាកយល់បន្តិច ចាំយប់ឡើងមកពិភាក្សានៅក្នុងគ្រុបបន្ថែម។ ជម្រាបលា។ (377),81.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_00005,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ ជម្រាបលា។ (607),95.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.553876891600541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_00006,safe,បាទបង! ខ្ញុំបានផ្ញើឯកសាររបាយការណ៍ទៅតាមអ៊ីមែលរួចរាល់ហើយ។ សូមពិនិត្យមើល។ (398),76.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_00007,safe,សួស្តីមិត្តភក្តិ! ស្អែកជួបគ្នានៅសាលាវិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជាម៉ោង ៨ ព្រឹក។ សូមអរគុណ។ (648),95.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.553876891600541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_00008,safe,ចាសបង! ចាំខ្ញុំប្រាប់គាត់ឱ្យទាក់ទងទៅបងវិញនៅពេលបន្តិចទៀតនេះ។ បាទបង! (922),72.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,4.276666119016055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe_00009,safe,កុំភ្លេចផ្ញើឯកសារ Word មកឱ្យខ្ញុំតាមតេឡេក្រាមផងបង។ ជម្រាបលា។ (679),66.0,2.0,3.5,3.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
safe_00010,safe,"Hello professor, I have uploaded my research proposal draft to the system. Best regards. (979)",94.0,14.0,5.285714285714286,3.0,0.041666666666666664,0.0,0.0,0.0,0.0,2.0,4.543294782270004,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.35714285714285715
safe_00011,safe,"Yes, the weather is quite hot today. Make sure to stay hydrated. Have a great day. (191)",88.0,16.0,4.0625,3.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,4.477336814478207,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.25
safe_00012,safe,ខ្ញុំកំពុងរៀបចំស្លាយ PowerPoint សម្រាប់ការពារនិក្ខេបបទកិច្ចការស្រាវជ្រាវរបស់ខ្ញុំ។ ជម្រាបលា។ (106),98.0,2.0,6.5,3.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,4.584967478670572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
safe_00013,safe,"Good morning team, please review the latest updates added to GitHub. Best regards. (183)",88.0,14.0,5.0,3.0,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,4.477336814478207,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.21428571428571427
